timestamp	server	destination	request	status	parameter_bytes	tem_code	response	error
2026-09-11T16:23:31.641488+00:00	127.0.0.1:8888	15	1506210400000000	hit	2a02	04-042	0a2a020000ff0000000000	
2026-09-11T16:23:31.905022+00:00	127.0.0.1:8888	15	1506210400010000	hit	2b82	04-043	0a2b820000ff0000000000	
2026-09-11T16:23:32.170791+00:00	127.0.0.1:8888	15	1506210400020000	hit	0000	00-000	0a00000d02f4010cfecd00	
2026-09-11T16:24:08.045951+00:00	127.0.0.1:8888	15	1506210400800000	hit	2a02	04-042	0a2a020000ff0000000000	
2026-09-11T16:24:08.338566+00:00	127.0.0.1:8888	15	1506210400810000	hit	2b82	04-043	0a2b820000ff0000000000	
2026-09-11T16:24:08.639736+00:00	127.0.0.1:8888	15	1506210400820000	hit	0000	00-000	0a00000d02f4010cfecd00	
2026-09-11T16:24:43.046197+00:00	127.0.0.1:8888	15	1506210401000000	hit	b241	03-050	0ab2410000070000000100	
2026-09-11T16:24:43.312309+00:00	127.0.0.1:8888	15	1506210401010000	hit	0000	00-000	0a00000d02f4010cfecd00	
2026-09-11T16:24:43.577320+00:00	127.0.0.1:8888	15	1506210401020000	hit	ba41	03-058	0aba414d041e00e2ff0000	
2026-09-11T16:24:43.843262+00:00	127.0.0.1:8888	15	1506210401030000	hit	0381	02-003	0a03811d00050002400000	
2026-09-11T16:24:44.108812+00:00	127.0.0.1:8888	15	1506210401040000	hit	0281	02-002	0a02811d00000000000000	
2026-09-11T16:24:44.418064+00:00	127.0.0.1:8888	15	1506210401050000	hit	0081	02-000	0a00811d000b00ffff0000	
2026-09-11T16:24:44.718180+00:00	127.0.0.1:8888	15	1506210401060000	hit	0a01	02-010	0a0a01800cb40000000000	
2026-09-11T16:24:45.250121+00:00	127.0.0.1:8888	15	1506210401080000	hit	4741	02-071	0a4741042a60270000c21a	
2026-09-11T16:25:18.798120+00:00	127.0.0.1:8888	15	1506210401800000	hit	b241	03-050	0ab2410000070000000100	
2026-09-11T16:25:19.093363+00:00	127.0.0.1:8888	15	1506210401810000	hit	0000	00-000	0a00000d02f4010cfecd00	
2026-09-11T16:25:19.359019+00:00	127.0.0.1:8888	15	1506210401820000	hit	ba41	03-058	0aba414d041e00e2ff0000	
2026-09-11T16:25:19.624736+00:00	127.0.0.1:8888	15	1506210401830000	hit	0381	02-003	0a03811d00050002400000	
2026-09-11T16:25:19.921413+00:00	127.0.0.1:8888	15	1506210401840000	hit	0281	02-002	0a02811d00000000000000	
2026-09-11T16:25:20.189021+00:00	127.0.0.1:8888	15	1506210401850000	hit	0081	02-000	0a00811d000b00ffff0000	
2026-09-11T16:25:20.453768+00:00	127.0.0.1:8888	15	1506210401860000	hit	0a01	02-010	0a0a01800cb40000000000	
2026-09-11T16:25:21.000099+00:00	127.0.0.1:8888	15	1506210401880000	hit	4741	02-071	0a4741042a60270000c31a	
2026-09-11T16:25:54.593799+00:00	127.0.0.1:8888	15	1506210402000000	hit	8943	07-009	0a89438d0284030000e001	
2026-09-11T16:26:30.703941+00:00	127.0.0.1:8888	15	1506210402800000	hit	8943	07-009	0a89438d0284030000e001	
2026-09-11T16:27:06.282282+00:00	127.0.0.1:8888	15	1506210403000000	hit	b241	03-050	0ab2410000070000000100	
2026-09-11T16:27:06.547639+00:00	127.0.0.1:8888	15	1506210403010000	hit	0200	00-002	0a02000d02e8030000e500	
2026-09-11T16:27:06.813355+00:00	127.0.0.1:8888	15	1506210403020000	hit	ba41	03-058	0aba414d041e00e2ff0000	
2026-09-11T16:27:07.080405+00:00	127.0.0.1:8888	15	1506210403030000	hit	0381	02-003	0a03811d00050002400000	
2026-09-11T16:27:07.344289+00:00	127.0.0.1:8888	15	1506210403040000	hit	0281	02-002	0a02811d00000000000000	
2026-09-11T16:27:07.609858+00:00	127.0.0.1:8888	15	1506210403050000	hit	0081	02-000	0a00811d000b00ffff0000	
2026-09-11T16:27:07.875822+00:00	127.0.0.1:8888	15	1506210403060000	hit	0a01	02-010	0a0a01800cb40000000000	
2026-09-11T16:27:08.390970+00:00	127.0.0.1:8888	15	1506210403080000	hit	32c1	02-050	0a32c11d000c0000000000	
2026-09-11T16:27:42.032794+00:00	127.0.0.1:8888	15	1506210403800000	hit	b241	03-050	0ab2410000070000000100	
2026-09-11T16:27:42.517786+00:00	127.0.0.1:8888	15	1506210403810000	hit	0200	00-002	0a02000d02e8030000e500	
2026-09-11T16:27:42.783157+00:00	127.0.0.1:8888	15	1506210403820000	hit	ba41	03-058	0aba414d041e00e2ff0000	
2026-09-11T16:27:43.049105+00:00	127.0.0.1:8888	15	1506210403830000	hit	0381	02-003	0a03811d00050002400000	
2026-09-11T16:27:43.531251+00:00	127.0.0.1:8888	15	1506210403840000	hit	0281	02-002	0a02811d00000000000000	
2026-09-11T16:27:43.797809+00:00	127.0.0.1:8888	15	1506210403850000	hit	0081	02-000	0a00811d000b00ffff0000	
2026-09-11T16:27:44.063659+00:00	127.0.0.1:8888	15	1506210403860000	hit	0a01	02-010	0a0a01800cb40000000000	
2026-09-11T16:27:44.625742+00:00	127.0.0.1:8888	15	1506210403880000	hit	32c1	02-050	0a32c11d000c0000000000	
2026-09-11T16:33:03.518310+00:00	127.0.0.1:8888	15	1506210408000000	hit	0000	00-000	0a00000d02f4010cfecb00	
2026-09-11T16:33:03.785295+00:00	127.0.0.1:8888	15	1506210408010000	hit	0100	00-001	0a01000d02f4010000e500	
2026-09-11T16:33:04.051241+00:00	127.0.0.1:8888	15	1506210408020000	hit	0200	00-002	0a02000d02e8030000e500	
2026-09-11T16:33:04.538096+00:00	127.0.0.1:8888	15	1506210408030000	hit	0400	00-004	0a04000d02e8030000c401	
2026-09-11T16:33:04.800416+00:00	127.0.0.1:8888	15	1506210408040000	hit	0700	00-007	0a07000d02e8030000e500	
2026-09-11T16:33:05.066547+00:00	127.0.0.1:8888	15	1506210408050000	hit	0800	00-008	0a08000d02e8030000d300	
2026-09-11T16:33:05.375860+00:00	127.0.0.1:8888	15	1506210408060000	hit	4600	00-070	0a46000d02e80300006801	
2026-09-11T16:33:05.676416+00:00	127.0.0.1:8888	15	1506210408070000	hit	4700	00-071	0a47000d02e8030000b004	
2026-09-11T16:33:05.942468+00:00	127.0.0.1:8888	15	1506210408080000	hit	4800	00-072	0a48000d02e8030000d400	
2026-09-11T16:33:06.207783+00:00	127.0.0.1:8888	15	1506210408090000	hit	4900	00-073	0a49000d02e8030000d300	
2026-09-11T16:33:06.473782+00:00	127.0.0.1:8888	15	15062104080a0000	hit	4a00	00-074	0a4a000d02e8030000b004	
2026-09-11T16:33:06.738795+00:00	127.0.0.1:8888	15	15062104080b0000	hit	4b00	00-075	0a4b000d02e8030000b004	
2026-09-11T16:33:07.004651+00:00	127.0.0.1:8888	15	15062104080c0000	hit	5100	00-081	0a51000d02e8030000b004	
2026-09-11T16:33:07.269718+00:00	127.0.0.1:8888	15	15062104080d0000	hit	5f00	00-095	0a5f000002640000000000	
2026-09-11T16:33:07.535984+00:00	127.0.0.1:8888	15	15062104080e0000	hit	6000	00-096	0a60000d02e8030000d300	
2026-09-11T16:33:07.801235+00:00	127.0.0.1:8888	15	15062104080f0000	hit	0000	00-000	0a00000d02f4010cfecb00	
