timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	value_bytes	value_unsigned	value_signed	value	value_encoding	response	error
2026-09-11T22:14:08.041805+00:00	localhost:8888	15	1506210402000040	hit	0081	02-000	unknown(0x1d)	none	11	-1	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a00811d000b00ffff0000	
2026-09-11T22:14:08.554111+00:00	localhost:8888	15	1506210402020040	hit	0281	02-002	unknown(0x1d)	none	0	-32622	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a02811d00000092800000	
2026-09-11T22:14:08.875065+00:00	localhost:8888	15	1506210402030040	hit	0381	02-003	unknown(0x1d)	none	5	16641	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a03811d00050001410000	
2026-09-11T22:14:11.506527+00:00	localhost:8888	15	15062104020a0040	hit	0a01	02-010	unknown(0x80)	min	180	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a0a01800cb40000000000	
2026-09-11T22:14:11.838321+00:00	localhost:8888	15	15062104020b0040	hit	0b01	02-011	unknown(0x80)	min	180	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a0b01800cb40000000000	
2026-09-11T22:14:14.411980+00:00	localhost:8888	15	1506210402140040	hit	1441	02-020	Temperatur	_C	500	-500	a800	168	168	16.8 °C	Annahme: SIN / 10	0a14410d02f4010cfea800	
2026-09-11T22:14:20.116258+00:00	localhost:8888	15	1506210402280040	hit	2841	02-040	Temperatur	kW	999	-999	18fc	64536	-1000		unbekannt; Rohwerte ohne Skalierung	0a28410d10e70319fc18fc	
2026-09-11T22:14:20.450106+00:00	localhost:8888	15	1506210402290040	hit	2941	02-041	Temperatur	kW	999	-999	18fc	64536	-1000		unbekannt; Rohwerte ohne Skalierung	0a29410d10e70319fc18fc	
2026-09-11T22:14:23.027407+00:00	localhost:8888	15	1506210402320040	hit	32c1	02-050	unknown(0x1d)	none	12	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a32c11d000c0000000000	
2026-09-11T22:14:28.584328+00:00	localhost:8888	15	1506210402460040	hit	4641	02-070	Zeit	unknown(0x28)	-1	0	1f98	38943	-26593		unbekannt; Rohwerte ohne Skalierung	0a46410428ffff00001f98	
2026-09-11T22:14:28.918853+00:00	localhost:8888	15	1506210402470040	hit	4741	02-071	Zeit	hh_mm	10080	0	310b	2865	2865		unbekannt; Rohwerte ohne Skalierung	0a4741042a60270000310b	
2026-09-11T22:14:31.497711+00:00	localhost:8888	15	1506210402500040	hit	50c1	02-080	unknown(0x1d)	none	1	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a50c11d00010000000000	
2026-09-11T22:14:31.757300+00:00	localhost:8888	15	1506210402510040	hit	51c1	02-081	unknown(0x1d)	none	1	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a51c11d00010000000000	
2026-09-11T22:14:45.226577+00:00	localhost:8888	15	1506210402800040	hit	0081	02-000	unknown(0x1d)	none	11	-1	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a00811d000b00ffff0000	
2026-09-11T22:14:45.821049+00:00	localhost:8888	15	1506210402820040	hit	0281	02-002	unknown(0x1d)	none	0	-32622	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a02811d00000092800000	
2026-09-11T22:14:46.084574+00:00	localhost:8888	15	1506210402830040	hit	0381	02-003	unknown(0x1d)	none	5	16641	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a03811d00050001410000	
2026-09-11T22:14:48.084508+00:00	localhost:8888	15	15062104028a0040	hit	0a01	02-010	unknown(0x80)	min	180	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a0a01800cb40000000000	
2026-09-11T22:14:48.380749+00:00	localhost:8888	15	15062104028b0040	hit	0b01	02-011	unknown(0x80)	min	180	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a0b01800cb40000000000	
