tem	menu	index	context	selector	type	unit	response
04-42	00	00	base	0000	00	00	2a020000ff0000000100
04-43	00	01	base	0001	00	00	2b820000ff0000000100
00-00	00	02	base	0002	0d	02	00000d02f4010cfe8e00
03-50	01	00	base	0100	00	00	b2410000070000000100
00-00	01	01	base	0101	0d	02	00000d02f4010cfe8e00
03-58	01	02	base	0102	4d	04	ba414d041e00e2ffecff
02-03	01	03	base	0103	1d	00	03811d00050002410000
02-02	01	04	base	0104	1d	00	02811d00000002800000
02-00	01	05	base	0105	1d	00	00811d000b00ffff0000
02-10	01	06	base	0106	80	0c	0a01800cb40000000000
02-71	01	08	base	0108	04	2a	4741042a60270000af15
02-12	01	09	base	0109	1e	00	0c811e000500
03-50	01	00	1000	01801000	00	00	b2410000070000000100
03-58	01	02	1000	01821000	4d	04	ba414d041e00e2ff0000
02-03	01	03	1000	01831000	1d	00	03811d00050002400000
02-02	01	04	1000	01841000	1d	00	02811d00000000800000
02-00	01	05	1000	01851000	1d	00	00811d000b00ffff0000
02-10	01	06	1000	01861000	80	0c	0a01800cb40000000000
02-71	01	08	1000	01881000	04	2a	4741042a60270000af15
02-12	01	09	1000	01891000	1e	00	0c811e000500
07-09	02	00	base	0200	8d	02	89438d0284030000e001
03-50	03	00	base	0300	00	00	b2410000070000000100
00-02	03	01	base	0301	0d	02	02000d02e8030000e500
03-58	03	02	base	0302	4d	04	ba414d041e00e2ffecff
02-03	03	03	base	0303	1d	00	03811d00050002410000
02-02	03	04	base	0304	1d	00	02811d00000002800000
02-00	03	05	base	0305	1d	00	00811d000b00ffff0000
02-10	03	06	base	0306	80	0c	0a01800cb40000000000
02-50	03	08	base	0308	1d	00	32c11d000c0000000000
02-12	03	09	base	0309	1e	00	0c811e000500
03-50	03	00	1000	03801000	00	00	b2410000070000000100
00-02	03	01	1000	03811000	0d	02	02000d02e8030000df00
03-58	03	02	1000	03821000	4d	04	ba414d041e00e2ff0000
02-03	03	03	1000	03831000	1d	00	03811d00050002400000
02-02	03	04	1000	03841000	1d	00	02811d00000000800000
02-00	03	05	1000	03851000	1d	00	00811d000b00ffff0000
02-10	03	06	1000	03861000	80	0c	0a01800cb40000000000
02-50	03	08	1000	03881000	1d	00	32c11d000c0000000000
02-12	03	09	1000	03891000	1e	00	0c811e000500
00-00	08	00	base	0800	0d	02	00000d02f4010cfe8e00
00-01	08	01	base	0801	0d	02	01000d02f4010000dd00
00-02	08	02	base	0802	0d	02	02000d02e8030000e500
00-04	08	03	base	0803	0d	02	04000d02e8030000d401
00-07	08	04	base	0804	0d	02	07000d02e8030000e500
00-08	08	05	base	0805	0d	02	08000d02e8030000db00
00-70	08	06	base	0806	0d	02	46000d02e80300006c01
00-71	08	07	base	0807	0d	02	47000d02e803000006ff
00-72	08	08	base	0808	0d	02	48000d02e8030000d600
00-73	08	09	base	0809	0d	02	49000d02e8030000d800
00-74	08	0a	base	080a	0d	02	4a000d02e803000006ff
00-75	08	0b	base	080b	0d	02	4b000d02e803000006ff
00-81	08	0c	base	080c	0d	02	51000d02e8030000b004
00-95	08	0d	base	080d	00	02	5f000002640000000000
00-96	08	0e	base	080e	0d	02	60000d02e8030000db00
00-00	08	00	1000	08801000	0d	02	00000d02f4010cfe8e00
00-01	08	01	1000	08811000	0d	02	01000d02f4010000df00
00-02	08	02	1000	08821000	0d	02	02000d02e8030000df00
00-04	08	03	1000	08831000	0d	02	04000d02e8030000d401
00-07	08	04	1000	08841000	0d	02	07000d02e8030000e500
00-08	08	05	1000	08851000	0d	02	08000d02e8030000db00
00-70	08	06	1000	08861000	0d	02	46000d02e80300006c01
00-71	08	07	1000	08871000	0d	02	47000d02e803000006ff
00-72	08	08	1000	08881000	0d	02	48000d02e8030000d600
00-73	08	09	1000	08891000	0d	02	49000d02e8030000d800
00-74	08	0a	1000	088a1000	0d	02	4a000d02e803000006ff
00-75	08	0b	1000	088b1000	0d	02	4b000d02e803000006ff
00-81	08	0c	1000	088c1000	0d	02	51000d02e8030000b004
00-95	08	0d	1000	088d1000	00	02	5f000002640000000000
00-96	08	0e	1000	088e1000	0d	02	60000d02e8030000db00
00-00	09	00	base	0900	0d	02	00000d02f4010cfe8e00
02-20	09	01	base	0901	0d	02	14410d02f4010cfebe00
00-01	09	02	base	0902	0d	02	01000d02f4010000dd00
01-01	09	03	base	0903	0d	02	81000d02e8030000c800
00-02	09	04	base	0904	0d	02	02000d02e8030000e500
