tem_id;context;name;baseline;latest_value;unit;status;source;selector;time;log_line;ste_index
03-00;Heizkreis 1 (abgeleitet);Raumschutztemperatur;10;10;°C;gleich;FB 90;3103;2026-09-23 11:13:55.262;9575;32
03-00;Heizkreis 2 (abgeleitet);Raumschutztemperatur;10;10;°C;gleich;FB 91;310d;2026-09-23 11:12:01.103;9371;33
03-01;Heizkreis 1 (abgeleitet);Fusspunkttemperatur;20;22;°C;abweichend;FB 90;3002;2026-09-23 11:24:10.269;10262;34
03-01;Heizkreis 2 (abgeleitet);Fusspunkttemperatur;20;22;°C;abweichend;FB 91;300c;2026-09-23 11:25:43.817;10332;35
03-02;Heizkreis 1 (abgeleitet);Heizgrenze Absenkbetrieb;17;17;°C;gleich;FB 90;3003;2026-09-23 11:13:55.984;9577;36
03-02;Heizkreis 2 (abgeleitet);Heizgrenze Absenkbetrieb;17;17;°C;gleich;FB 91;300d;2026-09-23 11:12:01.811;9373;37
03-10;Heizkreis 1 (abgeleitet);Steilheit Kennlinie;0,3;0,4;;abweichend;FB 90;3002;2026-09-23 11:24:10.269;10262;15
03-10;Heizkreis 2 (abgeleitet);Steilheit Kennlinie;0,3;0,4;;abweichend;FB 91;300c;2026-09-23 11:25:43.817;10332;16
03-11;Heizkreis 1 (abgeleitet);Fusspunkt Vorlaufkennlinie: TA;20;20;°C;gleich;Master;a300;2026-09-23 11:17:34.673;9843;44
03-20;Einstellebene 3, Raumtemperaturregelung;Zeitkonstante für Aussentemperaturmittelung;10;10;h;gleich;Master;a301;2026-09-23 11:17:35.081;9845;46
03-21;Heizkreis 1 (abgeleitet);Heizgrenze bei Tagbetrieb;16;25;°C;abweichend;Master;0b06;2026-09-23 11:24:06.693;10254;19
03-21;Heizkreis 2 (abgeleitet);Heizgrenze bei Tagbetrieb;16;20;°C;abweichend;Master;0b861000;2026-09-23 11:24:22.952;10283;20
03-23;Heizkreis 1 (abgeleitet);Frostgrenze;2;2;°C;gleich;Master;a302;2026-09-23 09:18:43.789;2532;47
03-30;Heizkreis 1 (abgeleitet);Nachstellzeit Raumregler;0;0;min;gleich;Master;a303;2026-09-23 09:18:55.915;2541;49
03-35;Heizkreis 1 (abgeleitet);Kühlgrenzenabstand;10;5;K;abweichend;FB 90;3101;2026-09-23 11:25:29.379;10320;51
03-35;Heizkreis 2 (abgeleitet);Kühlgrenzenabstand;5;5;K;gleich;FB 91;310b;2026-09-23 11:44:19.495;10729;52
03-43;Heizkreis 1 (abgeleitet);Kühltemperatur;22;22;°C;gleich;FB 90;3101;2026-09-23 11:25:29.379;10320;53
03-43;Heizkreis 2 (abgeleitet);Kühltemperatur;22;22;°C;gleich;FB 91;310b;2026-09-23 11:44:19.495;10729;54
03-50;Heizkreis 1 (abgeleitet);Betriebswahl Heizung und Brauchwasser;1;4;;abweichend;Master;0100;2026-09-23 11:23:36.896;10175;1
03-50;Heizkreis 2 (abgeleitet);Betriebswahl Heizung und Brauchwasser;1;4;;abweichend;Master;01801000;2026-09-23 11:19:11.355;9958;2
03-51;Heizkreis 1 (abgeleitet);Sollwert Raumtemperatur Heizen Tag normal;20,5;22;°C;abweichend;FB 90;3001;2026-09-23 11:25:30.020;10321;9
03-51;Heizkreis 2 (abgeleitet);Sollwert Raumtemperatur Heizen Tag normal;20,5;22;°C;abweichend;FB 91;300b;2026-09-23 11:44:20.150;10730;10
03-53;Heizkreis 1 (abgeleitet);Sollwert Raumteperatur Heizen Nacht;18;18;°C;gleich;FB 90;3001;2026-09-23 11:25:30.020;10321;11
03-53;Heizkreis 2 (abgeleitet);Sollwert Raumteperatur Heizen Nacht;18;10;°C;abweichend;FB 91;300b;2026-09-23 11:44:20.150;10730;12
03-58;Heizkreis 1 (abgeleitet);Behaglichkeit;0;0;K;gleich;FB 90;3101;2026-09-23 11:25:29.379;10320;5
03-58;Heizkreis 2 (abgeleitet);Behaglichkeit;-1;0;K;abweichend;FB 91;310b;2026-09-23 11:44:19.495;10729;6
04-00;Einstellebene 4, Globale Einstellungen;Fühlerkonfiguration speichern;0;0;;gleich;Master;a400;2026-09-23 09:20:27.712;2587;59
04-02;Einstellebene 4, Globale Einstellungen;Funktion Sollwerteingang;0;0;;gleich;Master;a401;2026-09-23 09:19:18.789;2556;60
