Checkliste Regler-Programmierung;;;;;;;;;;;;;;;;;;;;
Controller:;Controller:;;;;;;;;;;;;;;;;;;;
SC 6000 WPC;V6.2;;Standard-Werte;R407c;R134a;Scroll;Hub;Heizen;Heiz-Kühl;HWBW-K;Ladepumpe;HBJV;HCS/HWS;HCW/HWW;Mischer;Absorber -14Gr;Absorber -18Gr;Mono;Mono heiz-kühl;
Einstellebene 3, Raumtemperaturregelung;;;;;;;;;;;;;;;;;;;;
03-00 Raumschutztemperatur;3-0;;10;;;;;;;;;;;;;;;;;
03-01 Fusspunkttemperatur;3-1;;22;;;;;;;;;;;;;;;;;
03-02 Heizgrenze Absenkbetrieb;3-2;;17;;;;;;;;;;;;;;;;;
03-06 Startoptimierung Vorhaltezeit;3-6;;0;;;;;;;;;;;;;;;;;
03-07 Raumtemperatur - Kompensation;3-7;;0;;;;;;;;;;;;;;;;;
03-08 Vorlauf Sollwert Heizgrenze;3-8;;-10;;;;;;;;;;;;;;;;;
03-11 Fusspunkt Vorlaufkennlinie TA;;;20;;;;;;;;;;;;;;;;;
03-20 Zeitkonst. für Aussentemp.rmittelung;4-1;;10;;;;;10;15;;;;;;;;;;;
03-23 Frostgrenze;7-6;;2;;;;;;;;;;;;;;;;;
03-30 Nachstellzeit Raumregler;;;0;;;;;;;;;;;;;;;;;
03-35 Kühlgrenzenabstand;3-5;;5;;;;;;;;;;;;;;;;;
03-43 Kühltemperatur;3-4;;22;;;;;;;;;;;;;;;;;
05-14 Legionellenschutzfunktion;3-9;;0;;;;;;;;;;;;;;;;;
09-08 Wärmeerzeuger Sperre;3-3;;0;;;;;;;;;;;;;;;;;
09-20 Solltemperatur Handbetrieb;;;48;;;;;;;;;;;;;;;;;
Einstellebene 4, Globale Einstellungen;;;;;;;;;;;;;;;;;;;;
04-00 Fühlerkonfiguration speichern;4-0;;0;;;;;;;;;;;;;;;;;
04-02 Funktion Sollwerteingang;4-2;;0;;;;;;;;;;;;;;;;;
04-08 Handbetrieb Konfiguration;4-8;;2;;;;;;;;;;;;;;;;;
04-20 Anlage-Hauptregler / Folgeregler;4-4;;2;;;;;;;;;;;;;;;;;
04-30 Multifunktionsausgang 1;;;0;;;;;;;;;;;;1*;;;;;
04-31 Multifunktionsausgang 2;;;0;;;;;;;;;;;;1*;;;;;
04-36 eBUS Speisung Abschaltung;;;;;;;;;;;;;;;;;;;;
04-40 Service Passwort;;;;;;;;;;;;;;;;;;;;
04-45 Kommandobefehle;;;;;;;;;;;;;;;;;;;;
04-60 Mode Austrocknungsprogramm;;;;;;;;;;;;;;;;;;;;
04-61 Vorlaufsollwert-Steigung in der Aufheizphase;;;;;;;;;;;;;;;;;;;;
04-62 Vorlaufsollwert-Abfall in der Abkühlphase;;;;;;;;;;;;;;;;;;;;
04-63 Vorlaufsollwert in der Beharrungsphase;;;;;;;;;;;;;;;;;;;;
04-64 Dauer der Beharrungsphase;;;;;;;;;;;;;;;;;;;;
Ebene 5;;;;;;;;;;;;;;;;;;;;
05-00 Schaltdifferenz Brauchwasserbereitung;;;;;;;;;;;;;;;;;;;;
05-01 Temperaturüberhoehung Brauchwasserbereitung;;;;;;;;;;;;;;;;;;;;
05-02 Brauchwasser-Vorrang;;;;;;;;;;;;;;;;;;;;
05-03 Nachlaufzeit Brauchwasserbereitung;;;;;;;;;;;;;;;;;;;;
05-04 Legionellenschutztemperatur;;;;;;;;;;;;;;;;;;;;
05-05 Funktionsweise Ladepumpennachlauf;;;;;;;;;;;;;;;;;;;;
05-06 Zirkulationspumpe aktiv;;;;;;;;;;;;;;;;;;;;
05-07 Stellglied Brauchwasserbereitung;;;;;;;;;;;;;;;;;;;;
05-13 Reduktion Sollwert TBO;;;;;;;;;;;;;;;;;;;;
05-14 Legionellenschutzfunktion;;;;;;;;;;;;;;;;;;;;
05-40 Min. Fehlerdauer fuer Brauchwasser Störmeldung;;;;;;;;;;;;;;;;;;;;
05-51 Sollwert Warmwassertemperatur;;;;;;;;;;;;;;;;;;;;
05-60 Partydauer WWB;;;;;;;;;;;;;;;;;;;;
Ebene 6;;;;;;;;;;;;;;;;;;;;
06-00 Brauchwasser Ladeleistung;6-0;;100;;;;;;;;;;;;;;;;;
06-01 Puffer, Heiz- Ladeleistung;6-1;;100;;;;;;;;;;;;;;;;;
06-02 Kühlleistung;;;100;;;;;;;;;;;;;;;;;
06-04 WEZ Überhöhung;6-2;;15;;;;;;;;;;;;;;;;;
06-05 Puffer Offset TPM aus;6-3;;0;;;;;;;;;;;;;;;;;
06-08 TBVsoll Überhöhung;6-5;;10;;;;;;;;;;;;;;;;;
06-10 Xp WEZ Manager;6-6;;5;;;;;;;;;;;;;;;;;
