name	service	request	tem_id	label	response_model	encoding	response_length	first_line	last_line	observations	sample_response
Menueblock_00	0620	00		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	1	4859	7	038b018b00000000
Menueblock_01	0620	01		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	17	4874	7	8f98028783010181
Menueblock_02	0620	02		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	18	4875	7	0100000000000000
Menueblock_03	0620	03		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	19	4876	7	0000000000000000
Menueblock_04	0620	04		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	30	4886	7	0090008c00000000
Menueblock_05	0620	05		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	31	4887	7	0002020000000000
Menueblock_06	0620	06		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	32	4888	7	0000000000000000
Menueblock_07	0620	07		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	33	4889	7	0000000000000000
Menueblock_08	0620	08		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	34	4890	7	0000000000000000
Menueblock_09	0620	09		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	35	4891	7	0000000000000000
Menueblock_0A	0620	0a		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	36	4892	7	0000000000000000
Menueblock_0B	0620	0b		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	37	4893	7	0000000000000000
Menueblock_0C	0620	0c		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	38	4894	7	0000008207090987
Menueblock_0D	0620	0d		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	39	4895	7	000b070808080808
Menueblock_0E	0620	0e		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	40	4896	7	0808080000000000
Menueblock_0F	0620	0f		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	41	4897	7	0000000000000000
Menueblock_10	0620	10		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	42	4898	7	0000000000000000
Menueblock_11	0620	11		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	43	4899	7	0000000000000000
Menueblock_12	0620	12		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	44	4900	7	0000000000000000
Menueblock_13	0620	13		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	45	4901	7	0000000000000000
Menueblock_14	0620	14		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	46	4902	7	00000084080b0b88
Menueblock_15	0620	15		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	47	4903	7	05260f0808080808
Menueblock_16	0620	16		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	48	4904	7	0808080000000000
Menueblock_17	0620	17		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	49	4905	7	0000000000000000
Menueblock_18	0620	18		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	50	4906	7	0000000000000000
Menueblock_19	0620	19		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	51	4907	7	0000000000000000
Menueblock_1A	0620	1a		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	52	4908	7	0000000000000000
Menueblock_1B	0620	1b		8 Byte Menue-/Strukturmetadaten roh	Roh8	8 Byte Menue-/Strukturmetadaten roh	8	54	4909	7	0000000000000000
P04_043_0001	0621	0001	04-43	TEM 04-43; Bezeichnung nicht im STE-Katalog	RohgrenzenAntwort<UIN>	UIN; Auswahl/Integer, Grenzen als Rohbytes (Typ 09: Masken möglich)	10	810	4665	14	2b820000ff0000000100
P03_050_0100	0621	0100	03-50	Betriebswahl Heizung und Brauchwasser	RohgrenzenAntwort<UIN>	UIN; Auswahl/Integer, Grenzen als Rohbytes (Typ 09: Masken möglich)	10	2	4860	262	b2410000070000000100
P00_000_0101	0621	0101	00-00	TEM 00-00; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	3	4861	256	00000d02f4010cfe6b00
P03_058_0102	0621	0102	03-58	Behaglichkeit	Zahlenantwort<Kelvin10>	SIN / 10; Einheit aus Antwort	10	4	4862	260	ba414d041e00e2ff0000
P02_003_0103	0621	0103	02-03	TEM 02-03; Bezeichnung nicht im STE-Katalog	Sonderantwort	Typ 1d: sechs Byte Nutzdaten roh (keine erfundenen Min/Max/Wert-Felder)	10	5	4863	250	03811d00050002410000
P02_002_0104	0621	0104	02-02	TEM 02-02; Bezeichnung nicht im STE-Katalog	Sonderantwort	Typ 1d: sechs Byte Nutzdaten roh (keine erfundenen Min/Max/Wert-Felder)	10	6	4864	247	02811d000000928a0000
P02_000_0105	0621	0105	02-00	TEM 02-00; Bezeichnung nicht im STE-Katalog	Sonderantwort	Typ 1d: sechs Byte Nutzdaten roh (keine erfundenen Min/Max/Wert-Felder)	10	8	4865	243	00811d000b00ffff0000
P02_010_0106	0621	0106	02-10	TEM 02-10; Bezeichnung nicht im STE-Katalog	Sonderantwort	unbekannte Spezialkodierung; sechs Byte Nutzdaten vollständig roh	10	10	4867	240	0a01800cb40000000000
NichtVorhanden_0107	0621	0107		FF1F: in dieser Sitzung nicht vorhanden	Roh10	FF1F: in dieser Sitzung nicht vorhanden	10	11	4868	21	ff1f0000000000000000
P02_071_0108	0621	0108	02-71	TEM 02-71; Bezeichnung nicht im STE-Katalog	RohgrenzenAntwort<Wochenminuten>	UIN, Minutenwert bis 10080; keine MIN-Uhrzeit bis 24 h	10	12	4935	288	4741042a60270000560d
P02_012_0109	0621	0109	02-12	TEM 02-12; Bezeichnung nicht im STE-Katalog	Kurzantwort	6-Byte-Sonderantwort; keine normale Wertstruktur	6	13	4870	274	0c811e000500
NichtVorhanden_010A	0621	010a		FF1F: in dieser Sitzung nicht vorhanden	Roh10	FF1F: in dieser Sitzung nicht vorhanden	10	16	4873	21	ff1f0000000000000000
P03_050_01801000	0621	01801000	03-50	Betriebswahl Heizung und Brauchwasser	RohgrenzenAntwort<UIN>	UIN; Auswahl/Integer, Grenzen als Rohbytes (Typ 09: Masken möglich)	10	511	4732	49	b2410000070000000100
NichtVorhanden_01811000	0621	01811000		FF1F: in dieser Sitzung nicht vorhanden	Roh10	FF1F: in dieser Sitzung nicht vorhanden	10	512	4712	15	ff1f0000000000000000
P03_058_01821000	0621	01821000	03-58	Behaglichkeit	Zahlenantwort<Kelvin10>	SIN / 10; Einheit aus Antwort	10	513	4733	42	ba414d041e00e2ff0000
P02_003_01831000	0621	01831000	02-03	TEM 02-03; Bezeichnung nicht im STE-Katalog	Sonderantwort	Typ 1d: sechs Byte Nutzdaten roh (keine erfundenen Min/Max/Wert-Felder)	10	514	4715	36	03811d00050000410000
P02_002_01841000	0621	01841000	02-02	TEM 02-02; Bezeichnung nicht im STE-Katalog	Sonderantwort	Typ 1d: sechs Byte Nutzdaten roh (keine erfundenen Min/Max/Wert-Felder)	10	515	4717	35	02811d000000908a0000
P02_000_01851000	0621	01851000	02-00	TEM 02-00; Bezeichnung nicht im STE-Katalog	Sonderantwort	Typ 1d: sechs Byte Nutzdaten roh (keine erfundenen Min/Max/Wert-Felder)	10	516	4718	33	00811d000b00ffff0000
P02_010_01861000	0621	01861000	02-10	TEM 02-10; Bezeichnung nicht im STE-Katalog	Sonderantwort	unbekannte Spezialkodierung; sechs Byte Nutzdaten vollständig roh	10	517	4720	32	0a01800cb40000000000
NichtVorhanden_01871000	0621	01871000		FF1F: in dieser Sitzung nicht vorhanden	Roh10	FF1F: in dieser Sitzung nicht vorhanden	10	519	4721	14	ff1f0000000000000000
P02_071_01881000	0621	01881000	02-71	TEM 02-71; Bezeichnung nicht im STE-Katalog	RohgrenzenAntwort<Wochenminuten>	UIN, Minutenwert bis 10080; keine MIN-Uhrzeit bis 24 h	10	520	4953	63	4741042a60270000600d
P02_012_01891000	0621	01891000	02-12	TEM 02-12; Bezeichnung nicht im STE-Katalog	Kurzantwort	6-Byte-Sonderantwort; keine normale Wertstruktur	6	522	4729	52	0c811e000500
NichtVorhanden_018A1000	0621	018a1000		FF1F: in dieser Sitzung nicht vorhanden	Roh10	FF1F: in dieser Sitzung nicht vorhanden	10	525	4727	14	ff1f0000000000000000
P00_000_0800	0621	0800	00-00	TEM 00-00; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	108	4937	45	00000d02f4010cfe6c00
P00_001_0801	0621	0801	00-01	TEM 00-01; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	109	4938	46	01000d02f4010000d500
P00_002_0802	0621	0802	00-02	TEM 00-02; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	112	1233	18	02000d02e80300007801
P00_004_0803	0621	0803	00-04	TEM 00-04; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	116	1237	17	04000d02e80300008801
P00_007_0804	0621	0804	00-07	TEM 00-07; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	123	1234	9	07000d02e80300007801
P00_008_0805	0621	0805	00-08	TEM 00-08; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	131	1235	22	08000d02e8030000ce00
P00_070_0806	0621	0806	00-70	TEM 00-70; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	135	1236	71	46000d02e80300006901
P00_071_0807	0621	0807	00-71	TEM 00-71; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	142	492	69	47000d02e803000006ff
P00_072_0808	0621	0808	00-72	TEM 00-72; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	156	467	57	48000d02e8030000cd00
P00_073_0809	0621	0809	00-73	TEM 00-73; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	182	202	7	49000d02e8030000cc00
P00_074_080A	0621	080a	00-74	TEM 00-74; Bezeichnung nicht im STE-Katalog	Zahlenantwort<Celsius10>	SIN / 10; Einheit aus Antwort	10	187	201	6	4a000d02e803000006ff
