ste_index	tem	name	context	menu	selector	status
1	03-50	Betriebswahl Heizung und Brauchwasser	Heizkreis 1 (abgeleitet)	01	0100	zugeordnet
2	03-50	Betriebswahl Heizung und Brauchwasser	Heizkreis 2 (abgeleitet)	01	01801000	zugeordnet
3		Automatikprogramm	Heizkreis 1 (abgeleitet)			keine TEM-Kennung
4		Automatikprogramm	Heizkreis 2 (abgeleitet)			keine TEM-Kennung
5	03-58	Behaglichkeit	Heizkreis 1 (abgeleitet)	01	0102	zugeordnet
6	03-58	Behaglichkeit	Heizkreis 2 (abgeleitet)	01	01821000	zugeordnet
7	03-60	Partydauer HB	Heizkreis 1 (abgeleitet)			kein Selektor belegt
8	03-60	Partydauer HB	Heizkreis 2 (abgeleitet)			kein Selektor belegt
9	03-51	Sollwert Raumtemperatur Heizen Tag normal	Heizkreis 1 (abgeleitet)	0b	0b00	zugeordnet
10	03-51	Sollwert Raumtemperatur Heizen Tag normal	Heizkreis 2 (abgeleitet)	0b	0b801000	zugeordnet
11	03-53	Sollwert Raumteperatur Heizen Nacht	Heizkreis 1 (abgeleitet)	0b	0b02	zugeordnet
12	03-53	Sollwert Raumteperatur Heizen Nacht	Heizkreis 2 (abgeleitet)	0b	0b821000	zugeordnet
13	05-51	Sollwert Warmwassertemperatur	Heizkreis 1 (abgeleitet)	0b	0b03	zugeordnet
14	05-51	Sollwert Warmwassertemperatur	Heizkreis 2 (abgeleitet)	0b	0b831000	zugeordnet
15	03-10	Steilheit Kennlinie	Heizkreis 1 (abgeleitet)	0b	0b04	zugeordnet
16	03-10	Steilheit Kennlinie	Heizkreis 2 (abgeleitet)	0b	0b841000	zugeordnet
17	07-08	Vorlauf Maximaltemperatur TV	Heizkreis 1 (abgeleitet)	0b	0b05	zugeordnet
18	07-08	Vorlauf Maximaltemperatur TV	Heizkreis 2 (abgeleitet)	0b	0b851000	zugeordnet
19	03-21	Heizgrenze bei Tagbetrieb	Heizkreis 1 (abgeleitet)	0b	0b06	zugeordnet
20	03-21	Heizgrenze bei Tagbetrieb	Heizkreis 2 (abgeleitet)	0b	0b861000	zugeordnet
21	04-45	Kommandobefehle	Einstellebene 2	23	2308	zugeordnet
22	05-60	Partydauer WWB	Heizkreis 1 (abgeleitet)			kein Selektor belegt
23	05-60	Partydauer WWB	Heizkreis 2 (abgeleitet)			kein Selektor belegt
24		BW Zeitprog mit Heizkreisprogramm 1	Heizkreis 1 (abgeleitet)			keine TEM-Kennung
25		BW Zeitprog mit Heizkreisprogramm 1	Heizkreis 2 (abgeleitet)			keine TEM-Kennung
26		BW Zeitprog mit Heizkreisprogramm 2	Heizkreis 1 (abgeleitet)			keine TEM-Kennung
27		BW Zeitprog mit Heizkreisprogramm 2	Heizkreis 2 (abgeleitet)			keine TEM-Kennung
28		BW Zeitprog mit Heizkreisprogramm 3	Heizkreis 1 (abgeleitet)			keine TEM-Kennung
29		BW Zeitprog mit Heizkreisprogramm 3	Heizkreis 2 (abgeleitet)			keine TEM-Kennung
30		Störung quittieren	Einstellebene 2			keine TEM-Kennung
31		Betriebsdaten zurückstellen	Einstellebene 2			keine TEM-Kennung
32	03-00	Raumschutztemperatur	Heizkreis 1 (abgeleitet)	23	2300	zugeordnet
33	03-00	Raumschutztemperatur	Heizkreis 2 (abgeleitet)	23	23801000	zugeordnet
34	03-01	Fusspunkttemperatur	Heizkreis 1 (abgeleitet)	23	2301	zugeordnet
