index;tem_id;name;context;stored_value;unit_inferred;minimum;maximum;step_raw;group_text;address_candidate_hex;type_raw;unit_raw;variant_index;position_raw;page_raw;entry_key_raw;variant_flag_raw;address_low_raw;address_high_raw;header_raw;tail_raw;title;help_text;author_text;controller_text;offset;end_offset;payload_offset;fields_offset
32;03-00;Raumschutztemperatur;Heizkreis 1 (abgeleitet);10;°C;3;15;10;Einstellebene 3, Raumtemperaturregelung;0xF03A;13;1;0;0;3;6144;1;58;240;[1, 2, 21, 2];[0, 0, 81];03-00  Raumschutztemperatur;Die Raumschutztemperatur ist immer wirksam. Sie wird in keiner Betriebsart unterschritten. Sie ist die Solltemperatur bei Ferienbetrieb.;ich;17385;7254;7563;7256;7300
33;03-00;Raumschutztemperatur;Heizkreis 2 (abgeleitet);10;°C;3;15;10;Einstellebene 3, Raumtemperaturregelung;0xF362;13;1;1;0;3;6145;1;98;243;[1, 2, 21, 2];[0, 0, 81];03-00  Raumschutztemperatur;Die Raumschutztemperatur ist immer wirksam. Sie wird in keiner Betriebsart unterschritten. Sie ist die Solltemperatur bei Ferienbetrieb.;ich;17385;7563;7872;7565;7609
34;03-01;Fusspunkttemperatur;Heizkreis 1 (abgeleitet);20;°C;10;40;10;Einstellebene 3, Raumtemperaturregelung;0xF022;13;1;0;1;3;6160;1;34;240;[1, 2, 21, 2];[0, 0, 81];03-01  Fusspunkttemperatur;Die Fusspunkttemperatur bestimmt den Vorlaufsollwert beim eigestellten Aussentemperaturfusspunkt.;ich;17385;7872;8141;7874;7917
35;03-01;Fusspunkttemperatur;Heizkreis 2 (abgeleitet);20;°C;10;40;10;Einstellebene 3, Raumtemperaturregelung;0xF34A;13;1;1;1;3;6161;1;74;243;[1, 2, 21, 2];[0, 0, 81];03-01  Fusspunkttemperatur;Die Fusspunkttemperatur bestimmt den Vorlaufsollwert bei 20 °C Aussentemperatur.;ich;17385;8141;8393;8143;8186
36;03-02;Heizgrenze Absenkbetrieb;Heizkreis 1 (abgeleitet);17;°C;-10;20;5;Einstellebene 3, Raumtemperaturregelung;0xF034;13;1;0;2;3;6176;1;52;240;[1, 2, 21, 2];[0, 0, 81];03-02  Heizgrenze Absenkbetrieb;Wenn die gemittelte Aussentemperatur den eingestellten Wert im Absenkbetrieb überschreitet, schaltet der Heizkreis auf Sommerbetrieb. Bei Unterschreiten des Einstellwertes um 2 K wird der Heizbetrieb wieder eingeschaltet;ich;17385;8393;8790;8395;8443
37;03-02;Heizgrenze Absenkbetrieb;Heizkreis 2 (abgeleitet);17;°C;-10;20;5;Einstellebene 3, Raumtemperaturregelung;0xF35C;13;1;1;2;3;6177;1;92;243;[1, 2, 21, 2];[0, 0, 81];03-02  Heizgrenze Absenkbetrieb;Wenn die gemittelte Aussentemperatur den eingestellten Wert im Absenkbetrieb überschreitet, schaltet der Heizkreis auf Sommerbetrieb. Bei Unterschreiten des Einstellwertes um 2 K wird der Heizbetrieb wieder eingeschaltet;ich;17385;8790;9187;8792;8840
38;03-06;Startoptimierung Vorhaltezeit;Heizkreis 1 (abgeleitet);0;min;0;900;10;Einstellebene 3, Raumtemperaturregelung;0xF036;13;6;0;3;3;6192;1;54;240;[1, 2, 21, 2];[0, 0, 81];03-06  Startoptimierung Vorhaltezeit;Damit wird erreicht, dass die Raumtemperatur zum Belegungsbeginn nahezu dem Raumtemperatur-Sollwert entspricht. Der Einstellwert (in Minuten) legt die Zeitdifferenz für den vorzeitigen Heizbeginn zum Belegungsbeginn fest.;ich;17385;9187;9590;9189;9242
39;03-06;Startoptimierung Vorhaltezeit;Heizkreis 2 (abgeleitet);0;min;0;900;10;Einstellebene 3, Raumtemperaturregelung;0xF35E;13;6;1;3;3;6193;1;94;243;[1, 2, 21, 2];[0, 0, 81];03-06  Startoptimierung Vorhaltezeit;Damit wird erreicht, dass die Raumtemperatur zum Belegungsbeginn nahezu dem Raumtemperatur-Sollwert entspricht. Der Einstellwert (in Minuten) legt die Zeitdifferenz für den vorzeitigen Heizbeginn zum Belegungsbeginn fest.;ich;17385;9590;9993;9592;9645
40;03-07;Raumtemperatur - Kompensation;Heizkreis 1 (abgeleitet);0;;0;10;1;Einstellebene 3, Raumtemperaturregelung;0xF038;13;0;0;4;3;6208;1;56;240;[1, 2, 21, 2];[0, 0, 81];03-07  Raumtemperatur - Kompensation ;Weicht die mit einer Fernbedienung gemessene Raumtemperatur vom Sollwert ab (z. B. durch Fremdwärme wie Sonneneinstrahlung), korrigiert der Regler die Vorlauftemperatur entsprechend dem eingestellten Wert.;ich;17385;9993;10381;9995;10049
41;03-07;Raumtemperatur - Kompensation;Heizkreis 2 (abgeleitet);0;;0;10;1;Einstellebene 3, Raumtemperaturregelung;0xF360;13;0;1;4;3;6209;1;96;243;[1, 2, 21, 2];[0, 0, 81];03-07  Raumtemperatur - Kompensation ;Weicht die mit einer Fernbedienung gemessene Raumtemperatur vom Sollwert ab (z. B. durch Fremdwärme wie Sonneneinstrahlung), korrigiert der Regler die Vorlauftemperatur entsprechend dem eingestellten Wert.;ich;17385;10381;10769;10383;10437
